Type,Family,Model Name,Input Size,Accuracy
TBD,TBD,eva02_large_patch14_448.mim_in22k_ft_in22k_in1k,448,89.966
TBD,TBD,eva02_large_patch14_448.mim_m38m_ft_in1k,448,89.554
TBD,TBD,eva02_large_patch14_448.mim_m38m_ft_in22k_in1k,448,90.054
TBD,TBD,eva02_small_patch14_336.mim_in22k_ft_in1k,336,85.76
TBD,TBD,eva02_tiny_patch14_336.mim_in22k_ft_in1k,336,80.672
TBD,TBD,fastvit_ma36.apple_dist_in1k,256,84.606
TBD,TBD,fastvit_ma36.apple_in1k,256,83.884
TBD,TBD,fastvit_s12.apple_dist_in1k,256,81.074
TBD,TBD,fastvit_s12.apple_in1k,256,79.92
TBD,TBD,fastvit_sa12.apple_dist_in1k,256,81.842
TBD,TBD,fastvit_sa12.apple_in1k,256,80.84
TBD,TBD,fastvit_sa24.apple_dist_in1k,256,83.362
TBD,TBD,fastvit_sa24.apple_in1k,256,82.706
TBD,TBD,fastvit_sa36.apple_dist_in1k,256,84.032
TBD,TBD,fastvit_sa36.apple_in1k,256,83.504
TBD,TBD,fastvit_t12.apple_dist_in1k,256,80.364
TBD,TBD,fastvit_t12.apple_in1k,256,79.276
TBD,TBD,fastvit_t8.apple_dist_in1k,256,77.172
TBD,TBD,fastvit_t8.apple_in1k,256,76.184
TBD,TBD,fbnetc_100.rmsp_in1k,224,75.114
TBD,TBD,fbnetv3_b.ra2_in1k,256,79.154
TBD,TBD,fbnetv3_b.ra2_in1k,224,78.16
TBD,TBD,fbnetv3_d.ra2_in1k,256,79.664
TBD,TBD,fbnetv3_d.ra2_in1k,224,78.656
TBD,TBD,fbnetv3_g.ra2_in1k,288,82.04
TBD,TBD,fbnetv3_g.ra2_in1k,240,81.252
TBD,TBD,flexivit_base.1200ep_in1k,240,84.688
TBD,TBD,flexivit_base.300ep_in1k,240,84.402
TBD,TBD,flexivit_base.600ep_in1k,240,84.56
TBD,TBD,flexivit_large.1200ep_in1k,240,85.644
TBD,TBD,flexivit_large.300ep_in1k,240,85.282
TBD,TBD,flexivit_large.600ep_in1k,240,85.53
