model_name,input_size_csv,input_size_cfg,crop_pct_csv,crop_pct_cfg,params_csv,params_tinfo,macs_tinfo,params_ptflops,macs_ptflops,activations
convnextv2_pico.fcmae_ft_in1k,224,224,0.875,0.875,9.07,9066280,1373184232,9066280,1377016296,25194936
convnextv2_tiny.fcmae_ft_in1k,288,224,1.0,0.875,28.64,28635496,515518216,28635496,7401281512,90832056
convnextv2_tiny.fcmae_ft_in1k,224,224,0.875,0.875,28.64,28635496,322424584,28635496,4477622248,54951096
convnextv2_tiny.fcmae_ft_in22k_in1k,288,224,1.0,0.875,28.64,28635496,515518216,28635496,7401281512,90832056
convnextv2_tiny.fcmae_ft_in22k_in1k,224,224,0.875,0.875,28.64,28635496,322424584,28635496,4477622248,54951096
convnextv2_tiny.fcmae_ft_in22k_in1k_384,384,384,1.0,1.0,28.64,28635496,895671304,28635496,13157235688,161472696
crossvit_15_240.in1k,240,240,0.875,0.875,27.53,27528464,118129232,27528464,3895225644,14735940
crossvit_15_dagger_240.in1k,240,240,0.875,0.875,28.21,28209008,440524880,28209008,4218946860,16213572
crossvit_15_dagger_408.in1k,408,408,1.0,1.0,28.5,28500080,1236964304,28500080,15895929644,47340900
crossvit_18_240.in1k,240,240,0.875,0.875,43.27,43271408,148972304,43271408,5976309939,19839610
crossvit_18_dagger_240.in1k,240,240,0.875,0.875,44.27,44266976,591805968,44266976,6420690099,21563514
crossvit_18_dagger_408.in1k,408,408,1.0,1.0,44.61,44606560,1649525456,44606560,23524597179,62985930
crossvit_9_240.in1k,240,240,0.875,0.875,8.55,8553296,68953808,8553296,1308976224,6798040
crossvit_9_dagger_240.in1k,240,240,0.875,0.875,8.78,8776592,207649488,8776592,1448555616,7783128
crossvit_base_240.in1k,240,240,0.875,0.875,105.03,105025232,286226768,105025232,14953968516,27969672
crossvit_small_240.in1k,240,240,0.875,0.875,26.86,26856272,117457040,26856272,4068564906,13984836
crossvit_tiny_240.in1k,240,240,0.875,0.875,7.01,7014800,52315184,7014800,1182197181,6992418
cs3darknet_focus_l.c2ns_in1k,288,256,0.95,0.887,21.15,21151720,5877441512,21151720,5887768040,62672288
cs3darknet_focus_l.c2ns_in1k,256,256,0.887,0.887,21.15,21151720,4644119528,21151720,4652278760,49520544
cs3darknet_focus_m.c2ns_in1k,288,256,0.95,0.887,9.3,9304360,2497051624,9304360,2503365736,37705120
cs3darknet_focus_m.c2ns_in1k,256,256,0.887,0.887,9.3,9304360,1973140456,9304360,1978129384,29793184
cs3darknet_l.c2ns_in1k,288,256,0.95,0.887,21.16,21164168,6134236136,21164168,6145226216,65990048
cs3darknet_l.c2ns_in1k,256,256,0.887,0.887,21.16,21164168,4847018984,21164168,4855702504,52141984
cs3darknet_m.c2ns_in1k,288,256,0.95,0.887,9.31,9310240,2617983976,9310240,2624795752,40193440
cs3darknet_m.c2ns_in1k,256,256,0.887,0.887,9.31,9310240,2068691944,9310240,2074074088,31759264
cs3darknet_x.c2ns_in1k,288,256,1.0,0.95,35.05,35046320,10574152680,35046320,10588719720,87877920
cs3darknet_x.c2ns_in1k,256,256,0.95,0.95,35.05,35046320,8355154920,35046320,8366664680,69436320
cs3edgenet_x.c2_in1k,288,256,1.0,0.887,47.82,47821120,14555464680,47821120,14572027560,99852960
cs3edgenet_x.c2_in1k,256,256,0.887,0.887,47.82,47821120,11500882920,47821120,11513969640,78898080
cs3se_edgenet_x.c2ns_in1k,320,256,1.0,0.95,50.72,50721584,17972309464,50721584,17992760048,123301272
cs3se_edgenet_x.c2ns_in1k,256,256,0.95,0.95,50.72,50721584,11503783384,50721584,11516872688,78926232
cs3sedarknet_l.c2ns_in1k,288,256,0.95,0.887,21.91,21913592,6134985560,21913592,6145976840,66003248
cs3sedarknet_l.c2ns_in1k,256,256,0.887,0.887,21.91,21913592,4847768408,21913592,4856453128,52155184
cs3sedarknet_x.c2ns_in1k,288,256,1.0,0.887,35.4,35397904,10574504264,35397904,10589071768,87892912
cs3sedarknet_x.c2ns_in1k,256,256,0.887,0.887,35.4,35397904,8355506504,35397904,8367016728,69451312
cspdarknet53.ra_in1k,256,256,0.887,0.887,27.64,27642184,6533653480,27642184,6550594536,99098528
cspresnet50.ra_in1k,256,256,0.887,0.887,21.62,21616168,4517241832,21616168,4529005544,74489760
cspresnext50.ra_in1k,256,256,0.887,0.887,20.57,20569896,4014949352,20569896,4031202280,98906016
darknet53.c2ns_in1k,288,256,1.0,0.887,41.61,41609928,11751203816,41609928,11767046120,103688096
darknet53.c2ns_in1k,256,256,0.887,0.887,41.61,41609928,9285116904,41609928,9297634280,81928096
darknetaa53.c2ns_in1k,288,256,1.0,0.887,36.02,36022984,10052510696,36022984,10078638056,107544992
darknetaa53.c2ns_in1k,256,256,0.887,0.887,36.02,36022984,7942939624,36022984,7963583464,84975520
davit_base.msft_in1k,224,224,0.95,0.95,87.95,87954408,551675112,87954408,15281774568,115063736
davit_small.msft_in1k,224,224,0.95,0.95,49.75,49745896,333429928,49745896,8628996328,86298552
davit_tiny.msft_in1k,224,224,0.95,0.95,28.36,28360168,283428520,28360168,4433780968,54236088
deit_base_distilled_patch16_224.fb_in1k,224,224,0.9,0.9,87.34,87338192,202350032,87338192,12086270480,63257016
